Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
love the gyro plate. Rice is so good and I also dig their candy selection :),4,7.5,love gyro plate rice good also dig candi select,9
"Rosie, Dakota, and I LOVE Chaparral Dog Park!!! It's very convenient and surrounded by a lot of paths, a desert xeriscape, baseball fields, ballparks, and a lake with ducks.

The Scottsdale Park and Rec Dept. does a wonderful job of keeping the park clean and shaded.  You can find trash cans and poopy-pick up mitts located all over the park and paths.

The fenced in area is huge to let the dogs run, play, and sniff!",5,10.0,rosie dakota love chaparr dog park it conveni surround lot path desert xeriscape basebal field ballpark lake duck scottsdal park rec dept wonder job keep park clean shaded find trash can poopypick mitt locat park path fenc area huge let dog run play sniff,44
"General Manager Scott Petello is a good egg!!! Not to go into detail, but let me assure you if you have any issues (albeit rare) speak with Scott and treat the guy with some respect as you state your case and I'd be surprised if you don't walk out totally satisfied as I just did. Like I always say..... ""Mistakes are inevitable, it's how we recover from them that is important""!!!

Thanks to Scott and his awesome staff. You've got a customer for life!! .......... :^)",5,10.0,gener manag scott petello good egg go detail let assur issu albeit rare speak scott treat guy respect state case id surpris dont walk total satisfi did like alway say mistak inevitable it recov important thank scott awesom staff youv got custom life,43
"Luckily, I didn't have to travel far to make my connecting flight. And for this, I thank you, Phoenix.

My brief layover was pleasant as the employees were kind and the flight was on time.  Hopefully, next time I can grace Phoenix with my presence for a little while longer.",4,7.5,luckily didnt travel far make connect flight this thank you phoenix brief layov pleasant employe kind flight time hopefully next time grace phoenix presenc littl longer,26
"Definitely come for Happy hour! Prices are amazing, sake bombers for $3...Great atmosphere and wait staff was incredibly nice and right on to all of our needs, didn't have to ask for a thing They were always spot on...Place gets crowded in the evening especially if you plan on sitting outside. I only wish there were one in Apollo Beach or Brandon!",4,7.5,definit come happi hour price amazing sake bomber great atmospher wait staff incred nice right need didnt ask thing alway spot onplac get crowd even especi plan sit outside wish one apollo beach brandon,34
Nobuo shows his unique talents with everything on the menu. Carefully crafted features with much to drink. Start with the pork belly buns and a stout. Then go on until you can no longer.,5,10.0,nobuo show uniqu talent everyth menu care craft featur much drink start pork belli bun stout go longer,18
"The oldish man who owns the store is as sweet as can be.  Perhaps sweeter than the cookies or ice cream.

Here's the lowdown: Giant ice cream cookie sandwiches for super cheap.  The flavor permutations are basically endless.  I had snickerdoodle with cookies and cream ice cream.  It was marvelous.",5,10.0,oldish man own store sweet be perhap sweeter cooki ice cream here lowdown giant ice cream cooki sandwich super cheap flavor permut basic endless snickerdoodl cooki cream ice cream marvelous,30
Wonderful Vietnamese sandwich shoppe. Their baguettes are great hot out of the oven with butter or in one of their many sandwich choices. They have a modest selection of baked goods along with some of the best egg rolls around. Bring cash or your ATM card as no credit cards are accepted but they have an ATM on premises.,5,10.0,wonder vietnames sandwich shoppe baguett great hot oven butter one mani sandwich choice modest select bake good along best egg roll around bring cash atm card credit card accept atm premise,31
"They have a limited time thing going on right now with BBQ chicken pizza (not sure how long it's going to last) but let me just say it was amazing.  Probably THE best BBQ Chicken pizza I have ever had.  I have tried other things too, like the tomato basil soup, and many of their sandwiches ... very good, very fresh - every time.  

The 5 stars is for the pizza, but if I were to rate Jason's Deli over all they would get about a 4.",5,10.0,limit time thing go right bbq chicken pizza not sure long it go last let say amazing probabl best bbq chicken pizza ever had tri thing too like tomato basil soup mani sandwich good fresh everi time  star pizza rate jason deli would get ,44
"okay this is the best place EVER! i grew up shopping at the one in los gatos, and the one in Oakville. i was shock when i saw the best store in the world in Scottsdale and then not surprised at all. the have all the good stuff. from cheese down to wine. i can't tell you how happy i am that this store is here in Arizona. now if we could just get dean and deluca!",5,10.0,okay best place ever grew shop one lo gatos one oakville shock saw best store world scottsdal surpris all good stuff chees wine cant tell happi store arizona could get dean deluca,32
This place shouldn't even be reviewed - because it is the kind of place I want to keep for myself...  =),5,10.0,place shouldnt even review kind place want keep myself,9
"first time my friend and I went there... it was delicious!  The food, garlic knots our favorite and of course the wine!  We will be going back ALOT!",5,10.0,first time friend went there delicious food garlic knot favorit cours wine go back alot,15
"I love this place! I have been coming here for ages.
My favorites: Elsa's Chicken sandwich, any of their burgers, dragon chicken wings, china's little chicken sandwich, and the hot pepper chicken sandwich. The atmosphere is always fun and the art they display is very abstract but totally cool!",5,10.0,love place come age favorite elsa chicken sandwich burger dragon chicken wing china littl chicken sandwich hot pepper chicken sandwich atmospher alway fun art display abstract total cool,28
"Always reliably good.  Great beer selection as well as fabulous ""bitch fizz"" (ciders, etc.) and cocktails.  Their pizza is outstanding AND they have a healthy menu.  I generally steer clear of chains but this is an exception.",4,7.5,alway reliabl good great beer select well fabul bitch fizz cider etc cocktail pizza outstand healthi menu gener steer clear chain exception,22
Disgusting!  Had a Groupon so my daughter and I tried it out.  Very outdated and gaudy 80's style interior made me feel like I was in an episode of Sopranos.  The food itself was pretty bad.  We ordered pretty simple dishes but they just had no flavor at all!  After trying it out I'm positive all the good reviews on here are employees or owners creating them.,1,0.0,disgusting groupon daughter tri out outdat gaudi  style interior made feel like episod soprano food pretti bad order pretti simpl dish flavor all tri im posit good review employe owner creat them,32
I went here again when I got back to Phoenix after being gone for six months. This is one of my mom's favorite places to eat and I can understand why. The ravioli and the miso soup are so delicious! The wine was ok and I would recommend one of their elixirs over an alcohol beverage. Still a pretty delicious place to go in Phoenix.,4,7.5,went got back phoenix gone six month one mom favorit place eat understand why ravioli miso soup delicious wine ok would recommend one elixir alcohol beverage still pretti delici place go phoenix,32
"Very clean and well thought out floor plans, nice to have a friendly staff with smiling faces. Best Target I have been to in a while.",4,7.5,clean well thought floor plan nice friendli staff smile face best target while,13
"This Mexican food is very simple, slightly bland, but fairly fresh. The chicken is chopped up into tofu-looking squares. But I was satisfied with the food, which was fairly healthy Mexican food as Mexican food goes. The staff is quite polite. I met some cool people hanging out there while I sat outside.",4,7.5,mexican food simple slightli bland fairli fresh chicken chop tofulook square satisfi food fairli healthi mexican food mexican food go staff quit polite met cool peopl hang sat outside,29
"Decor  functional 
Staff friendly and are really kind to our toddler
food rocks  within my  limited range of  red and yellow curries ( so much so they suggested I try something else, hey it's not my fault these are so good that I didn't want to risk anything lesser. 

Prices are a bargain for entrees,  spice is there, they really get the request to make it very very hot.   This is probably the best bargain  in North Phoenix for  spice hounds",4,7.5,decor function staff friendli realli kind toddler food rock within limit rang red yellow curri much suggest tri someth else hey it fault good didnt want risk anyth lesser price bargain entree spice there realli get request make hot probabl best bargain north phoenix spice hound,46
"Solid food, great device, and casual environment.  They will not leave you hungry.  Overall, it's really good.",4,7.5,solid food great device casual environment leav hungry overall it realli good,12
"my son really enjoys islands, great food, casual kid freindly atmoshpere we go here quite a lot and seem to keep coming back",4,7.5,son realli enjoy island great food casual kid freindli atmoshper go quit lot seem keep come back,17
