Sentence,Sentiment,sentiment_score,clean_sentence,wordlen
the camera twirl look clever angle wow jump cut,0.22222,2.2222,camera twirl look clever angl wow jump cut,8
white freeze frame reminiscent luxury car commercial worst actually inside ring,0.22222,2.2222,white freez frame reminisc luxuri car commerci worst actual insid ring,11
stitch edgy piece disney animation hit silver screen first film use watercolor background since dumbo certainly rank original years,0.77778,7.7778,stitch edgi piec disney anim hit silver screen first film use watercolor background sinc dumbo certainli rank origin year,19
stitch reach emotion timelessness disney great past even recent successes mulan tarzan,0.44444,4.4444,stitch reach emot timeless disney great past even recent success mulan tarzan,12
begin end scenes terrify still stun,0.72222,7.2222,begin end scene terrifi still stun,6
begin end scenes terrify still stun and decide leave light every night,0.77778,7.7778,begin end scene terrifi still stun decid leav light everi night,11
cheat retreat comfortable territory too bad,0.38889,3.8889,cheat retreat comfort territori bad,5
dwell mumbo jumbo manipulative sentimentality sappy dialogue,0.20833,2.0833,dwell mumbo jumbo manipul sentiment sappi dialogu,7
show level young black manhood funny touch smart complicate,0.91667,9.1667,show level young black manhood funni touch smart complic,9
swim away sleeper movie summer award,0.76389,7.6389,swim away sleeper movi summer award,6
try force quirkiness upon audience,0.34722,3.4722,tri forc quirki upon audienc,5
would without vulgarity intelligent script,0.5,5.0,would without vulgar intellig script,5
antwone fisher earnest effort washington rock boat solid filmmaking,0.65278,6.5278,antwon fisher earnest effort washington rock boat solid filmmak,9
extreme ops exceed expectations good fun good action good act good dialogue good pace good cinematography,0.88889,8.8889,extrem op exceed expect good fun good action good act good dialogu good pace good cinematographi,16
frailty write well even simple goddammit near end take whole mean,0.95833,9.5833,frailti write well even simpl goddammit near end take whole mean,11
ichi killer takashi miike japan wildest filmmaker give crime fighter carry emotional baggage batman,0.41667,4.1667,ichi killer takashi miik japan wildest filmmak give crime fighter carri emot baggag batman,14
men black earmark sequel the story less vibrant joke little lukewarm anyone really care,0.34722,3.4722,men black earmark sequel stori le vibrant joke littl lukewarm anyon realli care,13
one look girl tight pant big tits turn stupid basis entire plot,0.30556,3.0556,one look girl tight pant big tit turn stupid basi entir plot,12
the quiet american begin saigon that first sign trouble,0.45833,4.5833,quiet american begin saigon first sign troubl,7
the time machine movie interest believe sense humor plain bore,0.13889,1.3889,time machin movi interest believ sen humor plain bore,9
the tuxedo vehicle chan the mask jim carrey alas man make clothe,0.43056,4.3056,tuxedo vehicl chan mask jim carrey ala man make cloth,10
what really happen question philosophers filmmakers filmmakers need engage audience,0.38889,3.8889,realli happen question philosoph filmmak filmmak need engag audienc,9
begin look like real kaputschnik,0.52778,5.2778,begin look like real kaputschnik,5
could pull vintage shirley temple script,0.59722,5.9722,could pull vintag shirley templ script,6
exceed expectations good fun good action good act good dialogue good pace,0.95833,9.5833,exceed expect good fun good action good act good dialogu good pace,12
hold goodwill close relatively slow come point,0.52778,5.2778,hold goodwil close rel slow come point,7
leave terrify message real horror may wait home,0.66667,6.6667,leav terrifi messag real horror may wait home,8
manage three quite well make one year enjoyable release,0.88889,8.8889,manag three quit well make one year enjoy releas,9
offer chill much like get sit around campfire around midnight tell creepy stories give willies,0.77778,7.7778,offer chill much like get sit around campfir around midnight tell creepi stori give willi,15
opera leave heartstring untugged liberal cause,0.44444,4.4444,opera leav heartstr untug liber caus,6
reach emotion timelessness disney great past even recent successes mulan tarzan,0.66667,6.6667,reach emot timeless disney great past even recent success mulan tarzan,11
remake viewers diapers original release,0.5,5.0,remak viewer diaper origin releas,5
vehicle chan the mask jim carrey alas,0.44444,4.4444,vehicl chan mask jim carrey ala,6
vehicle chan the mask jim carrey,0.40278,4.0278,vehicl chan mask jim carrey,5
shut talk nothing two guy beat hell outta,0.27778,2.7778,shut talk noth two guy beat hell outta,8
start like typical bible killer story,0.38889,3.8889,start like typic bibl killer stori,6
unelected suspect along george bush,0.38889,3.8889,unelect suspect along georg bush,5
make audiences guffaw script utterly diabolical,0.52778,5.2778,make audienc guffaw script utterli diabol,6
sure worse poor act ensemble cast flat dialogue vincent nebrida gutless direction,0.23611,2.3611,sure wors poor act ensembl cast flat dialogu vincent nebrida gutless direct,12
often undo howard attempt find literary filmmaking style match subject,0.31944,3.1944,often undo howard attempt find literari filmmak style match subject,10
play character sometimes feel like literary conceits humans,0.375,3.75,play charact sometim feel like literari conceit human,8
trap force change behavior bizarre unjustified fashion spout dialog consist mostly platitudes,0.44444,4.4444,trap forc chang behavior bizarr unjustifi fashion spout dialog consist mostli platitud,12
tread water best forgettable effort,0.33333,3.3333000000000004,tread water best forgett effort,5
worth extra effort see artist still commit growth ninth decade change remain true principles,0.73611,7.3611,worth extra effort see artist still commit growth ninth decad chang remain true principl,14
braveheart well recent pearl harbor,0.52778,5.2778,braveheart well recent pearl harbor,5
jim brown all american long last give subject movie worthy talents,0.77778,7.7778,jim brown american long last give subject movi worthi talent,10
new clothes begin simple plan,0.54167,5.4167,new cloth begin simpl plan,5
british flick gleefully unconcerned plausibility yet determine,0.48611,4.8610999999999995,british flick gleefulli unconcern plausibl yet determin,7
long way orwell dark intelligent warn cry,0.27778,2.7778,long way orwel dark intellig warn cri,7
lot richer ones hollywood action screenwriters usually come,0.76389,7.6389,lot richer one hollywood action screenwrit usual come,8
work artist control medium message,0.90278,9.027800000000001,work artist control medium messag,5
ability pull together easily accessible stories,0.63889,6.3889,abil pull togeth easili access stori,6
accumulate force still feel like ugly knot tighten stomach,0.45833,4.5833,accumul forc still feel like ugli knot tighten stomach,9
also abundance hackneyed dialogue silly satanic business,0.52778,5.2778,also abund hackney dialogu silli satan busi,7
also generic untidy condescend mild,0.22222,2.2222,also gener untidi condescend mild,5
also nice see movie heart,0.77778,7.7778,also nice see movi heart,5
also nice see movie heart thoroughly unabashedly,0.75,7.5,also nice see movi heart thoroughli unabashedli,7
alternately melancholic hopeful strangely funny,0.59722,5.9722,altern melanchol hope strang funni,5
amuse enough watch offer fine act moments pungent insights modern,0.80556,8.0556,amus enough watch offer fine act moment pungent insight modern,10
amuse enough watch offer fine act moments pungent insights modern media,0.80556,8.0556,amus enough watch offer fine act moment pungent insight modern medium,11
apparently aniston always need grow movie career,0.75,7.5,appar aniston alway need grow movi career,7
rude profane ever always hilarious time absolutely right,0.81944,8.1944,rude profan ever alway hilari time absolut right,8
barely shock barely interest barely anything,0.13889,1.3889,bare shock bare interest bare anyth,6
bet third feature something behold,0.70833,7.0833,bet third featur someth behold,5
compel heartfelt even heart belong big,0.77778,7.7778,compel heartfelt even heart belong big,6
consistently funny irresistible way consistently free,0.81944,8.1944,consist funni irresist way consist free,6
consistently surprise easy watch dumb,0.51389,5.1389,consist surpris easi watch dumb,5
denial sincere grief mourn favor bogus spiritualism,0.31944,3.1944,denial sincer grief mourn favor bogu spiritu,7
destine win wide summer audience review far line find place among studio animate classics,0.83333,8.3333,destin win wide summer audienc review far line find place among studio anim classic,14
easily finest american film come,0.84722,8.472199999999999,easili finest american film come,5
emotionally engross thank strong credible performances,0.72222,7.2222,emot engross thank strong credibl perform,6
enough melodrama magnolia primavera make pta proud yet director muccino character less worthy puccini,0.47222,4.7222,enough melodrama magnolia primavera make pta proud yet director muccino charact le worthi puccini,14
equally hard imagine anybody able tear eye away screen,0.83333,8.3333,equal hard imagin anybodi abl tear eye away screen,9
even less plausible rest picture,0.13889,1.3889,even le plausibl rest pictur,5
ever go special compile one place minus daytime program slickness sophistication know even,0.40278,4.0278,ever go special compil one place minu daytim program slick sophist know even,13
every bite enlighten insightful entertain grant two best film,0.84722,8.472199999999999,everi bite enlighten insight entertain grant two best film,9
exactly two people need find,0.625,6.25,exactli two peopl need find,5
far tragic merit superficial treatment,0.44444,4.4444,far tragic merit superfici treatment,5
sure george romero direct movie,0.47222,4.7222,sure georg romero direct movi,5
frustrate see guy obviously pretty clever,0.52778,5.2778,frustrat see guy obvious pretti clever,6
full throwaway joke determine amiability,0.26389,2.6389,full throwaway joke determin amiabl,5
fun wispy wise surprisingly inoffensive,0.72222,7.2222,fun wispi wise surprisingli inoffens,5
guess spray cheese underarm noise play crucial role,0.41667,4.1667,guess spray chees underarm nois play crucial role,8
hard seduce witherspoon charisma even,0.72222,7.2222,hard seduc witherspoon charisma even,5
intelligent consider detail ultimately weak,0.40278,4.0278,intellig consid detail ultim weak,5
intelligent consider detail ultimately weak impact,0.45833,4.5833,intellig consid detail ultim weak impact,6
intrepid hero ridiculous what next qualls indiana jones tom green han solo,0.45833,4.5833,intrepid hero ridicul next quall indiana jone tom green han solo,11
experimental enough alienate mainstream audience ring cliched harden,0.36111,3.6111,experiment enough alien mainstream audienc ring clich harden,8
less problem would another film,0.51389,5.1389,le problem would anoth film,5
meander low energy eager quirky moments,0.20833,2.0833,meander low energi eager quirki moment,6
meet rustic retreat pee tree can bear laughter,0.45833,4.5833,meet rustic retreat pee tree bear laughter,7
miss murder number real psychological ground teens deviant behavior latently gay like read,0.30556,3.0556,miss murder number real psycholog ground teen deviant behavior latent gay like read,13
enable victim ebullient affection meat freezers,0.56944,5.6944,enabl victim ebulli affect meat freezer,6
neither sappy big daddy anarchic,0.48611,4.8610999999999995,neither sappi big daddi anarch,5
much adaptation nick hornby novel,0.33333,3.3333000000000004,much adapt nick hornbi novel,5
notably better act far less crass,0.66667,6.6667,notabl better act far le crass,6
nothing strike fascinate metaphorically significant career,0.33333,3.3333000000000004,noth strike fascin metaphor signific career,6
often write indie film naturalism,0.45833,4.5833,often write indi film natur,5
part make dover kosashvili outstanding feature debut potent,0.84722,8.472199999999999,part make dover kosashvili outstand featur debut potent,8
pepper false start populate character nearly impossible care,0.36111,3.6111,pepper fals start popul charact nearli imposs care,8
perfect proud warrior still linger souls character,0.69444,6.9444,perfect proud warrior still linger soul charact,7
plague human spirit relentlessly globalize world,0.56944,5.6944,plagu human spirit relentlessli global world,6
refresh phoniness picture like divine secrets sisterhood,0.66667,6.6667,refresh phoni pictur like divin secret sisterhood,7
routine offensive puerile unimaginatively least funny,0.16667,1.6667,routin offens pueril unimagin least funni,6
saucy performance give age series much need kick make die another day one entertain bonds years,0.81944,8.1944,sauci perform give age seri much need kick make die anoth day one entertain bond year,16
season veterans gossip wealth paranoia celebrityhood,0.51389,5.1389,season veteran gossip wealth paranoia celebrityhood,6
short plot rich tiny revelations real life,0.68056,6.8056,short plot rich tini revel real life,7
fun silly outrageous ingenious thriller,0.93056,9.3056,fun silli outrag ingeni thriller,5
something would rather live denial,0.27778,2.7778,someth would rather live denial,5
story suit sensibilities young american decision pluck the four feathers bare,0.5,5.0,stori suit sensibl young american decis pluck four feather bare,10
strongly mediocre funny bits surface every,0.375,3.75,strongli mediocr funni bit surfac everi,6
subject matter degree least quintessentially american,0.52778,5.2778,subject matter degre least quintessenti american,6
suitable age movie make laugh,0.79167,7.9167,suitabl age movi make laugh,5
suspenseful enough older kid scary,0.66667,6.6667,suspens enough older kid scari,5
suspenseful enough older kid scary crowd,0.69444,6.9444,suspens enough older kid scari crowd,6
sweet harmless dumb occasionally funny compel,0.47222,4.7222,sweet harmless dumb occasion funni compel,6
target audience graduate junior high school,0.40278,4.0278,target audienc graduat junior high school,6
rare family movie genuine sweet,0.77778,7.7778,rare famili movi genuin sweet,5
random inconclusive compel hoffman brilliance,0.56944,5.6944,random inconclus compel hoffman brillianc,5
wear bite thin years though ask still find chuckle,0.56944,5.6944,wear bite thin year though ask still find chuckl,9
worth price admission ridicule factor,0.43056,4.3056,worth price admiss ridicul factor,5
worth watch birthday girl film jez butterworth mojo serve,0.55556,5.5556,worth watch birthday girl film jez butterworth mojo serv,9
worth watch birthday girl film jez butterworth mojo serve yet another example sad decline british comedies,0.29167,2.9166999999999996,worth watch birthday girl film jez butterworth mojo serv yet anoth exampl sad declin british comedi,16
worth watch birthday girl film jez butterworth mojo serve yet another example sad decline british comedies monty world,0.30556,3.0556,worth watch birthday girl film jez butterworth mojo serv yet anoth exampl sad declin british comedi monti world,18
already see exact movie hundred time,0.097222,0.9722200000000001,alreadi see exact movi hundr time,6
much even make teenage boys wrestle fan,0.52778,5.2778,much even make teenag boy wrestl fan,7
tell nice little story process,0.63889,6.3889,tell nice littl stori process,5
watch nothing pale imitation real deal,0.125,1.25,watch noth pale imit real deal,6
work lot better short film,0.52778,5.2778,work lot better short film,5
hollywood sheen bedevil film begin lohman moist,0.47222,4.7222,hollywood sheen bedevil film begin lohman moist,7
hollywood sheen bedevil film begin lohman moist deeply emotional eye shine bogus veneer,0.625,6.25,hollywood sheen bedevil film begin lohman moist deepli emot eye shine bogu veneer,13
boldly stroke luridly colour nonsense machine stroke eyeball evaporate like much crypt mist brain,0.34722,3.4722,boldli stroke luridli colour nonsens machin stroke eyebal evapor like much crypt mist brain,14
devastatingly powerful astonishingly vivid holocaust drama,0.94444,9.4444,devastatingli power astonishingli vivid holocaust drama,6
rare movie make basis live evaluate truly world meaningless activity,0.48611,4.8610999999999995,rare movi make basi live evalu truli world meaningless activ,10
smarter much funnier version old police academy flick,0.77778,7.7778,smarter much funnier version old polic academi flick,8
superbly control passionate adaptation graham greene novel,0.81944,8.1944,superbl control passion adapt graham green novel,7
allen best work understand snobbery better satiric target,0.58333,5.8333,allen best work understand snobberi better satir target,8
allen best work understand snobbery better satiric target diversions could ever,0.61111,6.1111,allen best work understand snobberi better satir target diver could ever,11
allen manage breathe life somewhat tire premise,0.65278,6.5278,allen manag breath life somewhat tire premis,7
anderson use aesthetic hit often enough keep film entertain even none make lick sense,0.63889,6.3889,anderson use aesthet hit often enough keep film entertain even none make lick sen,14
aniston always need grow movie career,0.41667,4.1667,aniston alway need grow movi career,6
attal gainsbourg unfamiliar personas give film intimate quaint reality little closer human nature hollywood typically concoct,0.80556,8.0556,attal gainsbourg unfamiliar persona give film intim quaint realiti littl closer human natur hollywood typic concoct,16
barry give assassin disquiet authority,0.61111,6.1111,barri give assassin disquiet author,5
breheny lensing new zealand cook island locations,0.56944,5.6944,breheni lens new zealand cook island locat,7
breheny lensing new zealand cook island locations capture beauty land people,0.80556,8.0556,breheni lens new zealand cook island locat captur beauti land peopl,11
broomfield uncover story powerful enough leave screen sizzle intrigue,0.91667,9.1667,broomfield uncov stori power enough leav screen sizzl intrigu,9
